latitude,longitude,DepthInMeters,ObservationDate
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,1/1/1999
29.328,-87.77,103,1/1/1999
29.328,-87.77,103,1/1/1999
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,5/7/1997
29.393,-87.98,70,9/30/1997
29.398,-87.98,72,5/7/1997
29.398,-87.98,72,5/7/1997
29.257,-88.34,79,5/7/1997
29.257,-88.34,79,5/7/1997
